produkt,rodzina,wariant,grubosc_nominalna_mm,zbrojenie,laczenie,wybrane_dane,metoda_badawcza,porownywalnosc
Sarnafil S 327-12 L,PVC-P,1.2 mm,1.20,osnowa poliestrowa,zgrzewanie gorącym powietrzem,"wytrzymałość na rozciąganie >=1000 N/50 mm; wydłużenie >=12%; stabilność wymiarowa <=0.3%; zginanie w niskiej temperaturze <=-25 C; rozdzieranie >=200 N; UV >5000 h - wynik pozytywny",EN 12311-2; EN 1107-2; EN 495-5; EN 12310-2; EN 1297,Porównywać tylko z wynikami według tych samych metod i dla zgodnej konstrukcji wyrobu
Carlisle Sure-Weld TPO Reinforced Membrane,TPO,60 mil,1.52,osnowa poliestrowa,zgrzewanie termiczne,"wytrzymałość na zerwanie min. 1.1 kN; wydłużenie zbrojenia min. 15%; rozdzieranie min. 245 N; kruchość maks. -40 C; zmiana liniowa maks. +/-1%; UV 4000 h - brak pęknięć",ASTM D751; ASTM D2137; ASTM D1204; ASTM G155,Brak bezpośredniej porównywalności z wynikami EN w tym zestawie
Carlisle Sure-Seal EPDM SAT,EPDM,60 mil,1.52,brak zbrojenia; warstwa samoprzylepna,taśma zakładowa systemowa,"wytrzymałość na rozciąganie min. 9 MPa; wydłużenie min. 300%; rozdzieranie min. 26.3 kN/m; kruchość maks. -45 C; UV 3000 h - brak pęknięć i spękań",ASTM D412; ASTM D624; ASTM D746; ASTM G155,Brak bezpośredniej porównywalności z wynikami EN oraz z wyrobami zbrojonymi

