id,producent_lub_instytucja,dokument,rodzaj,adres_url,data_dostepu,zastosowanie
Z01,Sika,Sarnafil S 327-12 L - Product Data Sheet,karta_techniczna,https://mys.sika.com/dms/getdocument.get/b5c3ecc3-5552-4ca7-980e-646fd7a1b280/sarnafil-s-327-12l.pdf,2026-09-10,dane produktu PVC-P
Z02,Carlisle SynTec Systems,Sure-Weld TPO Reinforced Membrane - Product Data Sheet,karta_techniczna,https://www.carlislesyntec.com/Document-Viewer/Sure-Weld-TPO-Reinforced-Membrane-Product-Data-Sheet/Nspdssv8T0KTm5zt1ygTOw,2026-09-10,dane produktu TPO
Z03,Carlisle SynTec Systems,Sure-Seal EPDM SAT Non-Reinforced Membrane - Product Data Sheet,karta_techniczna,https://www.carlislesyntec.com/document-viewer/sure-seal-epdm-sat-non-reinforced-membrane-product-data-sheet/A8dR5ooeJUiiquD53ZRv4Q,2026-09-10,dane produktu EPDM
Z04,Protan,Protan SE,opis_produktu,https://www.protan.com/products/roofs-and-membranes/exposed-roofing/standard-rolls/protan-se-1.6,2026-09-10,zakres źródłowy PVC-P
Z05,ETA-Danmark,TGA 2024/010 Protan SE,aprobata_techniczna,https://www.protan.com/globalassets/blocks/news-and-insight/2025/tga/tga-2024-010-protan-se-eng-v02.pdf,2026-09-10,niezależny dokument systemowy
Z06,Fatra,FATRAFOL 810/V,opis_produktu,https://www.fatrafol.cz/pl/dach-mocowany-mechanicznie/fatrafol-810-v-810,2026-09-10,zakres źródłowy PVC-P
Z07,RENOLIT,RENOLIT ALKORPLAN F - Technical Data Sheet,karta_techniczna,https://www.renolit.com/fileadmin/renolit/waterproofing_roofing/Documents/ALKORPLAN/EN_TDS_RENOLIT_ALKORPLAN_F_35076_220314.pdf,2026-09-10,zakres źródłowy PVC-P i metody EN
Z08,Elevate,RubberGard EPDM,opis_systemu,https://www.holcimelevate.com/poland-pl/pokrycia-dachowe/epdm/rubbergard-epdm,2026-09-10,zakres źródłowy EPDM

